Eesti üldapteekide vastavus 01.04.2020 rakenduvatele apteegireformi nõuetele;;;;;;;;;;;
Seisuga 01.01.2020 (Ravimiameti inspektsiooniosakond);;;;;;;;;;;
Tegutsemiskoha kood;Apteegi nimetus;Aadress;Tegevusloa omaja;VASTAVUS NÕUETELE;Värv kaardil;Põhiapteek/haruapteek;Maakond;ASUKOHT;;;
1459;Kolde Selveri Apteek;Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 31;Apt.Est OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
66;Kondivalu Apteek;Lääne-Viru maakond - Rakvere linn E. Vilde tn 14a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2020;Kondivalu Apteek HA1;Jõgeva maakond, Mustvee vald, Avinurme alevik, Võidu tn 6;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Jõgeva maakond;Maal;;;
1381;Kooli Apteek;Võru maakond - Võru linn Kooli tn 2;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
44;Koonga Apteek;Pärnu maakond Lääneranna  vald Koonga küla ;Liivi Kappak;Jah;Roheline;Põhiapteek;Pärnu maakond;Maal;;;
1479;Kopli Maxima Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Kopli tn 69b;Sügise Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1362;Kotka Keskuse Apteek;Harju maakond Tallinn Lasnamäe linnaosa P. Pinna tn 21;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
317;Kotka Tervisemaja Apteek;Harju maakond Tallinn Kristiine linnaosa Kotka tn 12;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
87;Kreenholmi Apteek;Ida-Viru maakond - Narva linn Kreenholmi tn 39f;OÜ KREENHOLMI APTEEK;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2018;Kreenholmi Apteek HA1;Ida-Viru maakond - Narva linn Vestervalli tn 15;OÜ KREENHOLMI APTEEK;Ei;Kollane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
228;Kristiine Kaubanduskeskuse Apteek;Harju maakond Tallinn Kristiine linnaosa Endla tn 45;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2031;Kristiine Kaubanduskeskuse Apteek HA1;Harju maakond Tallinn Põhja-Tallinna linnaosa Sõle tn 51;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1413;Kroonikeskuse Südameapteek;Lääne-Viru maakond - Rakvere linn F. G. Adoffi tn 11;Pharma Group OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1448;Kummeli Apteek;Tartu maakond Tartu linn Tartu linn Vahi tn 62;Nordic Pharmacy OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
59;Kunda Apteek;Lääne-Viru maakond Viru-Nigula vald Kunda linn Pargi tn 26;Osaühing Salmeri;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Alla 4000 elanikuga linnas;;;
2309;Kunda Apteek HA2;Lääne-Viru maakond - Kunda linn Kasemäe tn 12;Osaühing Salmeri;Jah;Roheline;Haruapteek;Lääne-Viru maakond;Alla 4000 elanikuga linnas;;;
50;Kuressaare Apteek;Saare maakond - Kuressaare linn Turu tn 2;osaühing Kuressaare Apteek;Jah;Roheline;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2339;Kuressaare Apteek HA1;Saare maakond, Saaremaa vald, Orissaare alevik, Kuivastu mnt 28;osaühing Kuressaare Apteek;Jah;Roheline;Haruapteek;Saare maakond;Maal;;;
6;Kuressaare Haigla Südameapteek;Saare maakond - Kuressaare linn Aia tn 25a;Pharma Group OÜ;Ei;Punane;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1478;Kuressaare Kesklinna Apteek;Saare maakond - Saaremaa vald Kuressaare linn Raekoja tn 10;OÜ PharmaThree;Jah;Roheline;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
14;Kuressaare Mini-Rimi Apteek;Saare maakond - Kuressaare linn Kihelkonna mnt 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1467;Kuressaare Pereapteek;Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 23;OÜ VR Apteegid ;Jah;Roheline;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1344;Kuressaare Raekoja Apteek;Saare maakond - Kuressaare linn Raekoja tn 1;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
235;Kvartali Apteek;Tartu maakond - Tartu linn Riia tn 2;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
239;Kärberi Keskuse Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa K. Kärberi tn 20;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
36;Kärdla Apteek;Hiiu maakond Hiiu vald Kärdla linn Uus tn 3;OÜ Kärdla Apteek;Ei;Kollane;Põhiapteek;Hiiu maakond;Alla 4000 elanikuga linnas;;;
52;Kärdla Keskväljaku Apteek;Hiiu maakond Hiiumaa vald Kärdla linn Põllu tn 1;Osaühing Valve Raide Apteek;Ei;Kollane;Põhiapteek;Hiiu maakond;Alla 4000 elanikuga linnas;;;
2244;Kärdla Keskväljaku Apteek HA1;Hiiu maakond Hiiumaa vald Käina alevik Hiiu mnt 1b;Osaühing Valve Raide Apteek;Ei;Kollane;Haruapteek;Hiiu maakond;Maal;;;
2245;Kärdla Keskväljaku Apteek HA2;Hiiu maakond Hiiumaa vald Emmaste küla ;Osaühing Valve Raide Apteek;Ei;Kollane;Haruapteek;Hiiu maakond;Maal;;;
22;Laagri Apteek;Harju maakond Saue vald Laagri alevik Tervise tn 2;OÜ Laagri Apteek;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
1390;Laagri Selveri Apteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 554;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
176;Laatre Apteek;Valga maakond Valga vald Laatre alevik Kesk tn 6;Lembe Raua Laatre Apteek;Jah;Roheline;Põhiapteek;Valga maakond;Maal;;;
2138;Laatre Apteek HA1;Valga maakond Valga vald Tsirguliina alevik Nooruse tn 1;Lembe Raua Laatre Apteek;Jah;Roheline;Haruapteek;Valga maakond;Maal;;;
113;Laekvere Apteek;Lääne-Viru maakond Vinni vald Laekvere alevik Salutaguse tee 6;Aune-Liis Eljase Laekvere apteek;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Maal;;;
83;Lahkuse Apteek;Ida-Viru maakond - Narva linn Kangelaste prospekt 5-62;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2264;Lahkuse Apteek HA1;Ida-Viru maakond - Narva linn Rakvere tn 71;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1388;Laikmaa Apteek;Harju maakond Tallinn Kesklinna linnaosa Narva mnt 2;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
294;Laine Apteek;Viljandi maakond Suure-Jaani vald Suure-Jaani linn Tallinna tn 10;Osaühing Laine Apteek;Jah;Roheline;Põhiapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
1445;Lakiotsa Apteek;Harju maakond Tallinn Mustamäe linnaosa A. H. Tammsaare tee 133;OÜ PharmaFour;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
254;Lasnamäe Centrumi Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Mustakivi tee 13;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1372;Lasnamäe Prisma Apteek;Harju maakond Tallinn Lasnamäe linnaosa Mustakivi tee 17;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
299;Lasnamäe Tervisekeskuse Apteek;Harju maakond Tallinn Lasnamäe linnaosa Punane tn 61;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
48;Lasnamäe Tervisemaja Apteek;Harju maakond Tallinn Lasnamäe linnaosa Linnamäe tee 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2074;Lasnamäe Tervisemaja Apteek HA1;Harju maakond Viimsi vald Haabneeme alevik Kaluri tee 5;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
2194;Lasnamäe Tervisemaja Apteek HA2;Harju maakond Viimsi vald Haabneeme alevik Randvere tee 9;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1408;Lastepolikliiniku Südameapteek;Harju maakond Tallinn Kesklinna linnaosa Ravi tn 27;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1399;Laulasmaa Apteek;Harju maakond Lääne-Harju vald Laulasmaa küla Kloogaranna tee 26;Laulasmaa Apteek OÜ;Ei;Kollane;Põhiapteek;Harju maakond;Maal;;;
1466;Leisi Apteek;Saare maakond, Saaremaa vald, Leisi alevik, Mustjala mnt 3;Rannarohu OÜ;Jah;Roheline;Põhiapteek;Saare maakond;Maal;;;
2342;Leisi Apteek HA1;Saare maakond, Saaremaa vald, Valjala alevik, Posti tn 15;Rannarohu OÜ;Jah;Roheline;Haruapteek;Saare maakond;Maal;;;
1389;Lelle Apteek;Rapla maakond Kehtna vald Lelle alevik Pärnu mnt 12-14;OÜ Karmeni Apteek;Jah;Roheline;Põhiapteek;Rapla maakond;Maal;;;
2271;Lelle Apteek HA1;Järva maakond Türi vald Käru alevik Viljandi mnt 8-2;OÜ Karmeni Apteek;Jah;Roheline;Haruapteek;Järva maakond;Maal;;;
2348;Lelle Apteek HA3;Rapla maakond - Kehtna vald Kehtna alevik Viljandi mnt 2;OÜ Karmeni Apteek;Jah;Roheline;Haruapteek;Rapla maakond;Maal;;;
1409;Lennujaama Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Tartu mnt 101;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
130;Lepa Apteek;Pärnu maakond - Pärnu linn Karja tn 4;Osaühing Mai Apteek;Ei;Kollane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2103;Lepa Apteek HA1;Pärnu maakond Häädemeeste vald Uulu küla ;Osaühing Mai Apteek;Ei;Kollane;Haruapteek;Pärnu maakond;Maal;;;
2204;Lepa Apteek HA2;Pärnu maakond Saarde vald Surju küla ;Osaühing Mai Apteek;Ei;Kollane;Haruapteek;Pärnu maakond;Maal;;;
41;Lihula Apteek;Pärnu maakond, Lääneranna vald, Lihula linn, Tallinna mnt 17;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Pärnu maakond;Alla 4000 elanikuga linnas;;;
1315;Liivaku Apteek;Harju maakond Tallinn Mustamäe linnaosa J. Sütiste tee 28;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2161;Liivaku Apteek HA1;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 46;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2220;Liivaku Apteek HA2;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 88;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
224;Lilleküla Apteek;Harju maakond Tallinn Kristiine linnaosa Endla tn 45a;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1440;Lilleoru Apteek;Lääne-Viru maakond - Rakvere linn Tartu tn 55;Lilleoru Apteek OÜ;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1349;Linnumäe Apteek;Hiiu maakond Hiiumaa vald Linnumäe küla ;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Hiiu maakond;Maal;;;
221;Loo Apteek;Harju maakond Jõelähtme vald Loo alevik Saha tee 11;Osaühing Loo Apteek;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
1404;Lõuna-Eesti Haigla Südameapteek;Võru maakond Võru vald Meegomäe küla ;Pharma Group OÜ;Ei;Punane;Põhiapteek;Võru maakond;Maal;;;
99;Lõunakeskuse Apteek;Tartu maakond - Tartu linn Ringtee tn 75;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1392;Läänemere Selveri Apteek;Harju maakond Tallinn Lasnamäe linnaosa Läänemere tee 28;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1414;Maardu Maxima Südameapteek;Harju maakond - Maardu linn Keemikute tn 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
265;Maardu Pärli Apteek;Harju maakond - Maardu linn Nurga tn 3;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1364;Maardu Südameapteek;Harju maakond - Maardu linn Keemikute tn 37;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1319;Maaülikooli Apteek;Tartu maakond - Tartu linn F. R. Kreutzwaldi tn 62;Eesti Maaülikool;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
4;Magdaleena Südameapteek;Harju maakond Tallinn Kesklinna linnaosa Pärnu mnt 104;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1420;Magistrali Keskuse Apteek;Harju maakond Tallinn Mustamäe linnaosa Sõpruse pst 201;OÜ PharmaTwo;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
146;Magistrali Südameapteek;Harju maakond Tallinn Mustamäe linnaosa Sõpruse pst 201;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1428;Mahlamäe Apteek;Rapla maakond Rapla vald Rapla linn Tallinna mnt 50;OÜ Kvatropharma;Jah;Roheline;Põhiapteek;Rapla maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2333;Mahlamäe Apteek HA1;Harju maakond, Kiili vald, Kiili alev, Vaela tee 4;OÜ Kvatropharma;Jah;Roheline;Haruapteek;Harju maakond;Maal;;;
319;Mai Apteek;Pärnu maakond - Pärnu linn Metsa tn 28;Osaühing Mai Apteek;Ei;Kollane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
308;Mai Selveri Apteek;Pärnu maakond - Pärnu linn Papiniidu tn 42;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1363;Marienthali Keskuse Südameapteek;Harju maakond Tallinn Kristiine linnaosa Mustamäe tee 16;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1356;Marja Apteek;Harju maakond Tallinn Kristiine linnaosa Mustamäe tee 45;Marja Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
186;Mehikoorma Apteek;Põlva maakond, Räpina vald, Mehikoorma alevik, Kooli tn 4;Ilve Paatsi Mehikoorma Apteek;Jah;Roheline;Põhiapteek;Põlva maakond;Maal;;;
1470;Meloni Apteek;Harju maakond Tallinn Kesklinna linnaosa Estonia pst 1;Pharmatipp OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2341;Meloni Apteek HA1;Rapla maakond Märjamaa vald Märjamaa alev Pärnu mnt 62;Pharmatipp OÜ;Jah;Roheline;Haruapteek;Rapla maakond;Maal;;;
1385;Merimetsa Selveri Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Paldiski mnt 56;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1328;Merimetsa Tervisekeskuse Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Paldiski mnt 68a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2295;Merimetsa Tervisekeskuse Apteek HA1;Harju maakond Saku vald Saku alevik Üksnurme tee 2;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
258;Miiduranna Südameapteek;Harju maakond Tallinn Pirita linnaosa Ranna tee 46a;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
54;Muhu-Liiva Apteek;Saare maakond Muhu vald Liiva küla ;Osaühing Muhu-Liiva Apteek;Ei;Kollane;Põhiapteek;Saare maakond;Maal;;;
1312;Mulgi Apteek;Viljandi maakond - Viljandi linn C. R. Jakobsoni tn 2;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2327;Mulgi Apteek HA1;Valga maakond Tõrva vald Tõrva linn Valga tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Valga maakond;Alla 4000 elanikuga linnas;;;
260;Mustakivi apteek;Harju maakond Tallinn Lasnamäe linnaosa Mahtra tn 1;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2314;Mustakivi apteek HA2;Harju maakond Viimsi vald Laiaküla Lilleoru tee 4;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
21;Mustakivi Selveri Apteek;Harju maakond Tallinn Lasnamäe linnaosa Mustakivi tee 3a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
242;Mustamäe Keskuse Apteek;Harju maakond Tallinn Mustamäe linnaosa A. H. Tammsaare tee 104a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1383;Mustamäe tee Apteek;Harju maakond Tallinn Kristiine linnaosa Mustamäe tee 12;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1441;Mustamäe Tervisekeskuse Apteek;Harju maakond Tallinn Mustamäe linnaosa Ehitajate tee 27;Anne Apteegid OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1371;Mustika Keskuse Apteek;Harju maakond Tallinn Mustamäe linnaosa Karjavälja tn 4;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
272;Mustika Prisma Apteek;Harju maakond Tallinn Mustamäe linnaosa Karjavälja tn 4;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1355;Mustvee Apteek;Jõgeva maakond, Mustvee vald, Mustvee linn Tartu tn 3;OÜ MUSTVEE APTEEK;Jah;Roheline;Põhiapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
2335;Mustvee Apteek HA1;Jõgeva maakond, Mustvee vald, Mustvee linn, Tähe tn 9;OÜ MUSTVEE APTEEK;Jah;Roheline;Haruapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
2345;Mustvee Apteek HA2;Tartu maakond Tartu vald Lähte alevik Poe tn 4/1;OÜ MUSTVEE APTEEK;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
1367;Mõisa Apteek;Harju maakond Rae vald Jüri alevik Aruküla tee 8;Osaühing Sepore;Ei;Punane;Põhiapteek;Harju maakond;Maal;;;
268;Mähe Südameapteek;Harju maakond Tallinn Pirita linnaosa Pärnamäe tee 114;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1475;Männiku Rimi Apteek;Harju Maakond Tallinn Nõmme linnaosa Männiku tee 100;MAPharm OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
157;Männilinna Apteek;Tartu maakond - Elva linn Kesk tn 8;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
314;Männimäe Selveri Apteek;Viljandi maakond - Viljandi linn Riia mnt 35;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
39;Märjamaa Apteek;Rapla maakond Märjamaa vald Märjamaa alev Pärnu mnt 66;OÜ MÄRJAMAA APTEEK;Jah;Roheline;Põhiapteek;Rapla maakond;Maal;;;
86;Narva Kesklinna Apteek;Ida-Viru maakond - Narva linn A. Puðkini tn 13;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2017;Narva Kesklinna Apteek HA1;Ida-Viru maakond - Narva linn Vestervalli tn 15;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2283;Narva Kesklinna Apteek HA4;Ida-Viru maakond - Narva linn P. Kerese tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1453;Narva Maksimarketi Apteek;Ida-Viru maakond - Narva linn Tallinna mnt 30b;VITALUMEN PHARM OÜ;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2344;Narva Maksimarketi Apteek HA1;Ida-Viru maakond Narva-Jõesuu linn J. Poska tn 26;VITALUMEN PHARM OÜ;Jah;Roheline;Haruapteek;Ida-Viru maakond;Alla 4000 elanikuga linnas;;;
1343;Narva Puðkini Apteek;Ida-Viru maakond - Narva linn A. Puðkini tn 19;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2168;Narva Puðkini Apteek HA1;Ida-Viru maakond Jõhvi vald Jõhvi linn Raudtee tn 1;OÜ Jasmin Apteegid;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
311;Narva Südameapteek;Ida-Viru maakond - Narva linn Kangelaste prospekt 24-1;MIRTEST PLUSS OÜ;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1360;Narva-Jõesuu Apteek;Ida-Viru maakond - Narva-Jõesuu linn Koidu tn 25;OÜ Narva-Jõesuu Apteek;Ei;Kollane;Põhiapteek;Ida-Viru maakond;Alla 4000 elanikuga linnas;;;
1394;Nautica Keskuse Südameapteek;Harju maakond Tallinn Kesklinna linnaosa Lootsi tn 7;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
12;Netiapteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 238;OÜ Mustamäe Apteek;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2033;Netiapteek HA1;Harju maakond Tallinn Kesklinna linnaosa Sadama tn 6;OÜ Mustamäe Apteek;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2177;Netiapteek HA2;Harju maakond - Saue linn Ridva tn 15;OÜ Mustamäe Apteek;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2290;Netiapteek HA3;Harju maakond Saue vald Laagri alevik Vae tn 16;OÜ Mustamäe Apteek;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
276;Nurme Apteek;Lääne maakond - Haapsalu linn Nurme tn 1;osaühing NURME APTEEK;Ei;Kollane;Põhiapteek;Lääne maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2068;Nurme Apteek HA1;Lääne maakond - Haapsalu linn Tallinna mnt 1;osaühing NURME APTEEK;Ei;Kollane;Haruapteek;Lääne maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2227;Nurme Apteek HA3;Lääne maakond Haapsalu linn Uuemõisa alevik Tallinna mnt 84;osaühing NURME APTEEK;Ei;Kollane;Haruapteek;Lääne maakond;Maal;;;
13;Nõmme Linnaapteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 326;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2291;Nõmme Linnaapteek HA1;Harju maakond Saue vald Laagri alevik Pärnu mnt 556a;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1379;Nõmme Südameapteek;Harju maakond Tallinn Nõmme linnaosa Jaama tn 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1316;Nõmme Tee Apteek;Harju maakond Tallinn Kristiine linnaosa Nõmme tee 23a;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2160;Nõmme Tee Apteek HA1;Harju maakond Tallinn Mustamäe linnaosa E. Vilde tee 75;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
215;Nõmme Tervisekeskuse Südameapteek;Harju maakond Tallinn Nõmme linnaosa Jaama tn 11;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
162;Nõo Apteek;Tartu maakond Nõo vald Nõo alevik Tartu tn 12;osaühing NÕO APTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
